//year, concentration
1985.064295,4.9
1988.588235,5.01
1994.180575,12
1995.49658,20
1996.095759,16
1996.577291,14
1997.132695,11
1997.991792,18
1998.27907,0
1999.27223,22
2000.273598,15
2001.644323,12
2002.355677,18
2003.201094,20
2004.19699,22
2004.771546,23
2005.039672,22
2005.23119,23
2005.556772,23
2005.726402,25
2005.997264,24
2006.248974,28
2006.74145,25
2006.798906,25
2007.053352,24.9
2007.296854,23.3
2008.372093,36.4
2008.733242,29.8
2008.886457,26.1
2008.949384,29.3
2009.502052,31.2
2009.729138,26.6
2010.093023,26
2010.497948,28.9
2010.804378,29.4
2010.976744,27.1
2011.450068,30.2
2011.699042,28.5
2011.797538,30.3
2011.948016,28.6
2012.19699,28.6
2012.4487,27.3
2012.719562,30.2
2012.943912,27.6
2013.201094,28.6
2013.422709,28.9
2013.690834,29.9
2013.983584,30
2014.175103,29.4
2014.426813,32.7
2014.705882,28.6
