//year, concentration
1997.25855     ,19
1997.277702     ,18
1997.436389     ,18
1997.756498     ,20
1998.235294     ,20
1998.678523     ,20
1999.160055     ,21
1999.27223     ,23
1999.307798     ,17
1999.332421     ,20
1999.351573     ,23
1999.370725     ,23
1999.389877     ,22
1999.52394     ,22
1999.616963     ,22
2000.46238     ,21
2001.113543     ,20
2001.477428     ,23
2002.53078     ,25
2002.53078     ,25
2003.373461     ,26
2004.123119     ,27
2004.311902     ,23
2004.538988     ,24
2004.771546     ,27
2005.23119     ,27
2005.556772     ,25
2005.726402     ,27
2006.057456     ,25
2007.053352     ,24.2
2007.316005     ,24.2
2008.276334     ,27.8
2008.949384     ,30.3
2009.214774     ,29.1
2009.4829     ,30.5
2009.731874     ,29.6
2010.093023     ,30.3
2010.325581     ,29.8
2010.497948     ,31.2
2010.804378     ,31.8
2010.976744     ,31.3
2011.201094     ,32.5
2011.699042     ,33.2
2011.950752     ,34.9
2012.19699      ,33.7
2012.4487       ,32.4
2012.719562     ,34.2
2012.946648     ,33.2
2013.212038     ,34.3
2013.291382     ,33.1
2013.373461     ,32.9
2013.614227     ,35.5
2013.679891     ,35.7
2013.805746     ,36.1
2013.863201     ,35.4
2013.983584     ,36.8
2014.04104      ,37.5
2014.112175     ,36.5
2014.188782     ,36
2014.270862     ,35.6
2014.385773     ,35
2014.46238      ,35.5
2014.55814      ,34.1
2014.615595     ,37.6
2014.711354     ,35.7
2014.790698     ,36.1
2014.954856     ,37.5
