//year, concentration
1985.064295,21
1988.588235,22
1994.738714,7.3
1994.793434,13
1994.990424,13
1996.095759,11
1996.664843,12
1997.898769,7
1997.912449,10
1998.008208,10
1999.4829,13
2000.46238,12
2000.957592,9.7
2001.417237,10
2002.451436,13
2003.452804,13
2003.967168,16
2005.02052,15
2006.325581,17
2007.009576,17.6
2007.316005,16.6
2008.276334,17.9
2009.291382,16.8
2009.4829,18.1
2010.093023,17.2
2010.497948,17.4
2011.072503,18.1
2012.030096,39.7
2012.125855,28.2
2012.393981,67.8
2012.429549,29.5
2012.454172,25.2
2012.470588,21.7
2012.48974,20
2012.511628,20.5
2012.528044,19.4
2012.547196,19.8
2012.566347,20.7
2012.585499,20.6
2012.604651,20.5
2012.623803,20.3
2012.642955,20.9
2012.664843,20.8
2012.681259,20.6
2012.70041,19.9
2012.757866,20.8
2012.834473,20.2
2012.891929,20.6
2013.00684,20.9
2013.083447,20.1
2013.154583,21.1
2013.233926,19.5
2013.310534,19.7
2013.373461,18.7
2013.447332,18.9
2013.518468,18.9
2013.638851,19.8
2013.715458,21.1
2013.813953,20.2
2013.865937,18.4
2013.98632,21.6
2014.060192,20.1
2014.131327,20.1
2014.213406,19.7
2014.303694,13.2
2014.388509,18.6
2014.46238,17.9
2014.55814,18
2014.653899,17.4
2014.711354,19.4
2014.804378,21.5
2014.848153,19.2
