//year, concentration
1986.576318,15.1
1989.357974,14
1992.4846,16
1994.590007,0.1
1994.743326,19
1995.534565,18
1995.63039,20
1996.161533,16
1996.643395,16
1997.634497,18
1998.59822,17
1999.805613,27
2000.531143,19
2001.524983,14
2002.540726,18
2003.523614,19
2004.268309,21
2004.553046,21
2004.843258,29
2005.111567,27
2005.303217,21
2005.533196,21
2005.798768,21
2006.069815,22
2006.488706,22
2006.872005,22
2007.08282,23.4
2007.293634,25.6
2007.564682,24
2008.558522,26.3
2008.960986,33.3
2009.081451,25.3
2009.289528,27
2009.445585,28
2009.596167,27.6
2009.941136,24.1
2010.190281,26.4
2010.49692,27
2010.57358,27.8
2010.913073,36.2
2011.123888,28.8
2011.359343,27.4
2011.603012,27.6
2012.123203,37.7
2012.465435,28
2012.70089,29.3
2012.911704,27.9
2013.122519,30
2013.311431,28.6
2013.50308,27.5
2013.776865,29.9
2014.078029,31.5
2014.286105,32.3
2014.540726,30


