//year, concentration
1985.064295,7
1988.588235,6.29
1994.601915,11
1995.526676,9.8
1996.095759,9
1996.856361,10
1997.584131,10
1998.74145,0
1999.961696,12
2000.538988,12
2001.45554,13
2002.27907,14
2002.355677,14
2002.432285,14
2002.53078,13
2002.607387,14
2002.697674,14
2002.856361,14
2002.949384,15
2003.028728,15
2003.105335,14
2003.201094,15
2003.277702,14
2003.373461,14
2003.452804,15
2003.526676,15
2004.19699,16
2004.445964,16
2004.771546,16
2005.23119,16
2005.783858,16
2006.415869,17
2006.798906,17
2007.220246,20.1
2008.19699,18.8
2008.886457,18.9
2009.636115,17.7
2010.421341,18.2
2010.497948,18.3
2010.804378,19.6
2010.976744,20
2011.201094,20.1
2011.450068,20.2
2011.699042,21
2011.948016,21.8
2012.374829,22.5
2012.623803,22.1
2012.943912,22.4
2013.201094,22.3
2013.980848,24.1

